size,blocksize,assoc,at,energy,area
1024,16,1,0.120271,0.00147203,0.012576448
1024,16,2,0.154369,0.00179223,0.009352716
1024,16,4,0.148551,0.00441801,0.015114948
1024,16,8,0.177363,0.0131495,0.032695749
1024,16,-1,0.173252,0.00739022,0.003939615
2048,16,1,0.12909,0.00231301,0.020146374
2048,16,2,0.172494,0.00255952,0.027993859
2048,16,4,0.170128,0.00476208,0.018578171
2048,16,8,0.18281,0.0136843,0.037985284
2048,16,-1,0.175761,0.013481,0.007713456
4096,16,1,0.147005,0.00246015,0.045271895
4096,16,2,0.185463,0.00358696,0.043608422
4096,16,4,0.200677,0.00568933,0.039262025
4096,16,8,0.201331,0.014401,0.05103257
4096,16,-1,0.187509,0.029882,0.013056153
8192,16,1,0.16383,0.00386509,0.070409707
8192,16,2,0.214097,0.00421545,0.080880943
8192,16,4,0.229049,0.00671075,0.066547302
8192,16,8,0.242057,0.0159636,0.104820657
8192,16,-1,0.194804,0.0542674,0.031682341
16384,16,1,0.199965,0.0037271,0.107880044
16384,16,2,0.241293,0.00619768,0.136503873
16384,16,4,0.253766,0.00875186,0.116884041
16384,16,8,0.269063,0.0179828,0.130653069
16384,16,-1,0.211561,0.109251,0.046976222
32768,16,1,0.236389,0.00591789,0.210449892
32768,16,2,0.281752,0.00875141,0.260611812
32768,16,4,0.299459,0.0122677,0.179354275
32768,16,8,0.319565,0.0187463,0.246970103
32768,16,-1,0.225912,0.206177,0.122491511
65536,16,1,0.294627,0.00709601,0.40444489
65536,16,2,0.321797,0.0116486,0.369903211
65536,16,4,0.349491,0.0149277,0.35633163
65536,16,8,0.357083,0.0245006,0.361176029
65536,16,-1,0.274551,0.354736,0.207150254
131072,16,1,0.3668,0.00975932,0.657632237
131072,16,2,0.397164,0.0156978,0.855647308
131072,16,4,0.410987,0.0199046,0.8660032
131072,16,8,0.433905,0.0338656,0.842812185
131072,16,-1,0.313061,0.697576,0.389018599
262144,16,1,0.443812,0.0133489,1.504593828
262144,16,2,0.488545,0.0210366,1.280939189
262144,16,4,0.493179,0.0288358,1.251715859
262144,16,8,0.517662,0.0419349,1.460155167
262144,16,-1,0.401329,1.26868,0.766857492
524288,16,1,0.563451,0.0200345,2.487583382
524288,16,2,0.60093,0.0337521,2.625745784
524288,16,4,0.61652,0.0431207,3.262423809
524288,16,8,0.627996,0.0641905,3.389080784
524288,16,-1,0.475728,2.53227,1.563662105
1048576,16,1,0.69938,0.0293588,4.403242032
