, l1a, l1s, l1missrate,log2l1s
0,Direct Mapped,1024,0.1935,10.0
1,2-way Set Assoc.,1024,0.156,10.0
2,4-way Set Assoc.,1024,0.1427,10.0
3,8-way Set Assoc.,1024,0.1363,10.0
4,Fully Assoc.,1024,0.137,10.0
5,Direct Mapped,2048,0.1477,11.0
6,2-way Set Assoc.,2048,0.1071,11.0
7,4-way Set Assoc.,2048,0.0962,11.0
8,8-way Set Assoc.,2048,0.0907,11.0
9,Fully Assoc.,2048,0.0886,11.0
10,Direct Mapped,4096,0.1002,12.0
11,2-way Set Assoc.,4096,0.0753,12.0
12,4-way Set Assoc.,4096,0.0599,12.0
13,8-way Set Assoc.,4096,0.0537,12.0
14,Fully Assoc.,4096,0.0495,12.0
15,Direct Mapped,8192,0.067,13.0
16,2-way Set Assoc.,8192,0.0473,13.0
17,4-way Set Assoc.,8192,0.0425,13.0
18,8-way Set Assoc.,8192,0.0395,13.0
19,Fully Assoc.,8192,0.0391,13.0
20,Direct Mapped,16384,0.0461,14.0
21,2-way Set Assoc.,16384,0.0338,14.0
22,4-way Set Assoc.,16384,0.0283,14.0
23,8-way Set Assoc.,16384,0.0277,14.0
24,Fully Assoc.,16384,0.0263,14.0
25,Direct Mapped,32768,0.0377,15.0
26,2-way Set Assoc.,32768,0.0288,15.0
27,4-way Set Assoc.,32768,0.0264,15.0
28,8-way Set Assoc.,32768,0.0263,15.0
29,Fully Assoc.,32768,0.0262,15.0
30,Direct Mapped,65536,0.0329,16.0
31,2-way Set Assoc.,65536,0.0271,16.0
32,4-way Set Assoc.,65536,0.026,16.0
33,8-way Set Assoc.,65536,0.0259,16.0
34,Fully Assoc.,65536,0.0258,16.0
35,Direct Mapped,131072,0.0323,17.0
36,2-way Set Assoc.,131072,0.0259,17.0
37,4-way Set Assoc.,131072,0.0258,17.0
38,8-way Set Assoc.,131072,0.0258,17.0
39,Fully Assoc.,131072,0.0258,17.0
40,Direct Mapped,262144,0.0258,18.0
41,2-way Set Assoc.,262144,0.0258,18.0
42,4-way Set Assoc.,262144,0.0258,18.0
43,8-way Set Assoc.,262144,0.0258,18.0
44,Fully Assoc.,262144,0.0258,18.0
45,Direct Mapped,524288,0.0258,19.0
46,2-way Set Assoc.,524288,0.0258,19.0
47,4-way Set Assoc.,524288,0.0258,19.0
48,8-way Set Assoc.,524288,0.0258,19.0
49,Fully Assoc.,524288,0.0258,19.0
50,Direct Mapped,1048576,0.0258,20.0
51,2-way Set Assoc.,1048576,0.0258,20.0
52,4-way Set Assoc.,1048576,0.0258,20.0
53,8-way Set Assoc.,1048576,0.0258,20.0
54,Fully Assoc.,1048576,0.0258,20.0
