, l1a, l1s, l1missrate, l1read, l1write, l1readmiss, l1writemiss,log2l1s,at,aat
0,Direct Mapped,1024,0.1935,63640,36360,12300,7046,10.0,0.114797,4.004147000000001
1,2-way Set Assoc.,1024,0.156,63640,36360,9623,5980,10.0,0.140329,3.275929
2,4-way Set Assoc.,1024,0.1427,63640,36360,8449,5821,10.0,0.14682,3.01509
3,8-way Set Assoc.,1024,0.1363,63640,36360,7972,5655,10.0,,
4,Fully Assoc.,1024,0.137,63640,36360,8099,5597,10.0,0.155484,2.909184
5,Direct Mapped,2048,0.1477,63640,36360,8905,5869,11.0,0.12909,3.0978600000000003
6,2-way Set Assoc.,2048,0.1071,63640,36360,5994,4720,11.0,0.161691,2.314401
7,4-way Set Assoc.,2048,0.0962,63640,36360,5170,4452,11.0,0.154496,2.0881160000000003
8,8-way Set Assoc.,2048,0.0907,63640,36360,4744,4325,11.0,0.180686,2.003756
9,Fully Assoc.,2048,0.0886,63640,36360,4585,4275,11.0,0.176515,1.957375
10,Direct Mapped,4096,0.1002,63640,36360,5883,4134,12.0,0.147005,2.161025
11,2-way Set Assoc.,4096,0.0753,63640,36360,4000,3528,12.0,0.181131,1.6946610000000002
12,4-way Set Assoc.,4096,0.0599,63640,36360,2941,3051,12.0,0.185685,1.389675
13,8-way Set Assoc.,4096,0.0537,63640,36360,2567,2798,12.0,0.189065,1.268435
14,Fully Assoc.,4096,0.0495,63640,36360,2356,2598,12.0,0.182948,1.1778980000000001
15,Direct Mapped,8192,0.067,63640,36360,3327,3373,13.0,0.16383,1.5105300000000002
16,2-way Set Assoc.,8192,0.0473,63640,36360,2184,2550,13.0,0.194195,1.1449250000000002
17,4-way Set Assoc.,8192,0.0425,63640,36360,1844,2403,13.0,0.211173,1.0654230000000002
18,8-way Set Assoc.,8192,0.0395,63640,36360,1643,2311,13.0,0.212911,1.006861
19,Fully Assoc.,8192,0.0391,63640,36360,1629,2283,13.0,0.198581,0.9844910000000001
20,Direct Mapped,16384,0.0461,63640,36360,1932,2677,14.0,0.198417,1.1250270000000002
21,2-way Set Assoc.,16384,0.0338,63640,36360,1161,2223,14.0,0.223917,0.903297
22,4-way Set Assoc.,16384,0.0283,63640,36360,741,2091,14.0,0.233936,0.8027660000000001
23,8-way Set Assoc.,16384,0.0277,63640,36360,681,2093,14.0,0.254354,0.811124
24,Fully Assoc.,16384,0.0263,63640,36360,555,2079,14.0,0.205608,0.7342380000000001
25,Direct Mapped,32768,0.0377,63640,36360,1356,2412,15.0,0.233353,0.9911230000000001
26,2-way Set Assoc.,32768,0.0288,63640,36360,752,2129,15.0,0.262446,0.841326
27,4-way Set Assoc.,32768,0.0264,63640,36360,570,2070,15.0,0.27125,0.80189
28,8-way Set Assoc.,32768,0.0263,63640,36360,554,2071,15.0,0.288511,0.8171410000000001
29,Fully Assoc.,32768,0.0262,63640,36360,554,2070,15.0,0.22474,0.75136
30,Direct Mapped,65536,0.0329,63640,36360,986,2306,16.0,0.294627,0.955917
31,2-way Set Assoc.,65536,0.0271,63640,36360,639,2074,16.0,0.300727,0.845437
32,4-way Set Assoc.,65536,0.026,63640,36360,547,2048,16.0,0.319481,0.8420810000000001
33,8-way Set Assoc.,65536,0.0259,63640,36360,545,2044,16.0,0.341213,0.861803
34,Fully Assoc.,65536,0.0258,63640,36360,544,2039,16.0,0.276281,0.794861
35,Direct Mapped,131072,0.0323,63640,36360,937,2296,17.0,0.3668,1.0160300000000002
36,2-way Set Assoc.,131072,0.0259,63640,36360,544,2046,17.0,0.374603,0.895193
37,4-way Set Assoc.,131072,0.0258,63640,36360,544,2038,17.0,0.38028,0.89886
38,8-way Set Assoc.,131072,0.0258,63640,36360,544,2038,17.0,0.401236,0.919816
39,Fully Assoc.,131072,0.0258,63640,36360,544,2038,17.0,0.322486,0.8410660000000001
40,Direct Mapped,262144,0.0258,63640,36360,544,2040,18.0,0.443812,0.962392
41,2-way Set Assoc.,262144,0.0258,63640,36360,544,2040,18.0,0.445929,0.9645090000000001
42,4-way Set Assoc.,262144,0.0258,63640,36360,544,2038,18.0,0.457685,0.976265
43,8-way Set Assoc.,262144,0.0258,63640,36360,544,2038,18.0,0.458925,0.9775050000000001
44,Fully Assoc.,262144,0.0258,63640,36360,544,2038,18.0,0.396009,0.9145890000000001
45,Direct Mapped,524288,0.0258,63640,36360,544,2040,19.0,0.563451,1.0820310000000002
46,2-way Set Assoc.,524288,0.0258,63640,36360,544,2038,19.0,0.567744,1.086324
47,4-way Set Assoc.,524288,0.0258,63640,36360,544,2038,19.0,0.564418,1.082998
48,8-way Set Assoc.,524288,0.0258,63640,36360,544,2038,19.0,0.578177,1.0967570000000002
49,Fully Assoc.,524288,0.0258,63640,36360,544,2038,19.0,0.475728,0.994308
50,Direct Mapped,1048576,0.0258,63640,36360,544,2040,20.0,0.69938,1.2179600000000002
51,2-way Set Assoc.,1048576,0.0258,63640,36360,544,2038,20.0,0.706046,1.224626
52,4-way Set Assoc.,1048576,0.0258,63640,36360,544,2038,20.0,0.699607,1.218187
53,8-way Set Assoc.,1048576,0.0258,63640,36360,544,2038,20.0,0.705819,1.224399
54,Fully Assoc.,1048576,0.0258,63640,36360,544,2038,20.0,0.588474,1.1070540000000002
