, l1a, l1s, l1missrate, l1read, l1write, l1readmiss, l1writemiss, l2a, l2s, l2missrate, l2read, l2write, l2readmiss, l2writemiss,log2l1s,l1at,l2at,aat
0,Direct Mapped,1024,0.1935,63640,36360,12300,7046,8,524288,0.1335,19346,8359,2582,0,10.0,0.114797,0.578177,0.7459024745000001
1,2-way Set Assoc.,1024,0.156,63640,36360,9623,5980,8,524288,0.1655,15603,7002,2582,0,10.0,0.140329,0.578177,0.7494664120000002
2,4-way Set Assoc.,1024,0.1427,63640,36360,8449,5821,8,524288,0.1809,14270,6689,2582,0,10.0,0.14682,0.578177,0.7481959009000001
3,8-way Set Assoc.,1024,0.1363,63640,36360,7972,5655,8,524288,0.1895,13627,6509,2582,0,10.0,,0.578177,
4,Fully Assoc.,1024,0.137,63640,36360,8099,5597,8,524288,0.1885,13696,6442,2582,0,10.0,0.155484,0.578177,0.753766699
5,Direct Mapped,2048,0.1477,63640,36360,8905,5869,8,524288,0.1748,14774,6713,2582,0,11.0,0.12909,0.578177,0.7334277389000001
6,2-way Set Assoc.,2048,0.1071,63640,36360,5994,4720,8,524288,0.241,10714,5391,2582,0,11.0,0.161691,0.578177,0.7424168667000001
7,4-way Set Assoc.,2048,0.0962,63640,36360,5170,4452,8,524288,0.2683,9622,4942,2582,0,11.0,0.154496,0.578177,0.7289068733999999
8,8-way Set Assoc.,2048,0.0907,63640,36360,4744,4325,8,524288,0.2847,9069,4788,2582,0,11.0,0.180686,0.578177,0.7521546829000001
9,Fully Assoc.,2048,0.0886,63640,36360,4585,4275,8,524288,0.2914,8860,4693,2582,0,11.0,0.176515,0.578177,0.7466840862
10,Direct Mapped,4096,0.1002,63640,36360,5883,4134,8,524288,0.2578,10017,4675,2582,0,12.0,0.147005,0.578177,0.7241526914
11,2-way Set Assoc.,4096,0.0753,63640,36360,4000,3528,8,524288,0.343,7528,3962,2582,0,12.0,0.181131,0.578177,0.7438085181
12,4-way Set Assoc.,4096,0.0599,63640,36360,2941,3051,8,524288,0.4309,5992,3369,2582,0,12.0,0.185685,0.578177,0.7391170933000001
13,8-way Set Assoc.,4096,0.0537,63640,36360,2567,2798,8,524288,0.4813,5365,3056,2582,0,12.0,0.189065,0.578177,0.7396138859000001
14,Fully Assoc.,4096,0.0495,63640,36360,2356,2598,8,524288,0.5212,4954,2861,2582,0,12.0,0.182948,0.578177,0.7301357015000001
15,Direct Mapped,8192,0.067,63640,36360,3327,3373,8,524288,0.3854,6700,3574,2582,0,13.0,0.16383,0.578177,0.7215860390000002
16,2-way Set Assoc.,8192,0.0473,63640,36360,2184,2550,8,524288,0.5454,4734,2666,2582,0,13.0,0.194195,0.578177,0.7400709141
17,4-way Set Assoc.,8192,0.0425,63640,36360,1844,2403,8,524288,0.608,4247,2496,2582,0,13.0,0.211173,0.578177,0.7551295225000001
18,8-way Set Assoc.,8192,0.0395,63640,36360,1643,2311,8,524288,0.653,3954,2397,2582,0,13.0,0.212911,0.578177,0.7541983415
19,Fully Assoc.,8192,0.0391,63640,36360,1629,2283,8,524288,0.66,3912,2378,2582,0,13.0,0.198581,0.578177,0.7398883207000001
20,Direct Mapped,16384,0.0461,63640,36360,1932,2677,8,524288,0.5602,4609,2503,2582,0,14.0,0.198417,0.578177,0.7441578817000001
21,2-way Set Assoc.,16384,0.0338,63640,36360,1161,2223,8,524288,0.763,3384,1965,2582,0,14.0,0.223917,0.578177,0.7618263226
22,4-way Set Assoc.,16384,0.0283,63640,36360,741,2091,8,524288,0.9117,2832,1782,2582,0,14.0,0.233936,0.578177,0.7689007201
