, l1a, l1s, l1missrate, l1read, l1write, l1readmiss, l1writemiss,bs,log2bs
0,4,1KiB,0.1473,63640,36360,7177,7554,16,4.0
1,4,1KiB,0.1427,63640,36360,8449,5821,32,5.0
2,4,1KiB,0.1584,63640,36360,10680,5159,64,6.0
3,4,1KiB,0.2036,63640,36360,14675,5688,128,7.0
4,4,2KiB,0.1062,63640,36360,4699,5922,16,4.0
5,4,2KiB,0.0962,63640,36360,5170,4452,32,5.0
6,4,2KiB,0.1033,63640,36360,6496,3830,64,6.0
7,4,2KiB,0.1334,63640,36360,9363,3974,128,7.0
8,4,4KiB,0.0755,63640,36360,2931,4623,16,4.0
9,4,4KiB,0.0599,63640,36360,2941,3051,32,5.0
10,4,4KiB,0.0619,63640,36360,3576,2613,64,6.0
11,4,4KiB,0.083,63640,36360,5563,2740,128,7.0
12,4,8KiB,0.0595,63640,36360,1739,4206,16,4.0
13,4,8KiB,0.0425,63640,36360,1844,2403,32,5.0
14,4,8KiB,0.0386,63640,36360,2138,1721,64,6.0
15,4,8KiB,0.0484,63640,36360,3101,1734,128,7.0
16,4,16KiB,0.0482,63640,36360,840,3983,16,4.0
17,4,16KiB,0.0283,63640,36360,741,2091,32,5.0
18,4,16KiB,0.0205,63640,36360,840,1205,64,6.0
19,4,16KiB,0.0198,63640,36360,1175,807,128,7.0
20,4,32KiB,0.0475,63640,36360,790,3964,16,4.0
21,4,32KiB,0.0264,63640,36360,570,2070,32,5.0
22,4,32KiB,0.0156,63640,36360,448,1110,64,6.0
23,4,32KiB,0.0111,63640,36360,470,637,128,7.0
