, l1a, l1s, l1missrate, l1read, l1write, l1readmiss, l1writemiss, l2a, l2s, l2missrate, l2read, l2write, l2readmiss, l2writemiss,log2l1s,l1at,l2at,aat,area
0,4-way Set Assoc.,1024,0.1427,63640,36360,8449,5821,8,32KiB,0.184,14270,6689,2625,0,10.0,0.14682,0.288511,0.7157521997,0.257285583
1,4-way Set Assoc.,2048,0.0962,63640,36360,5170,4452,8,32KiB,0.2728,9622,4942,2625,0,11.0,0.154496,0.288511,0.7097422941999999,0.260832994
2,4-way Set Assoc.,4096,0.0599,63640,36360,2941,3051,8,32KiB,0.4381,5992,3369,2625,0,12.0,0.185685,0.288511,0.7304348279,0.279811188
3,4-way Set Assoc.,8192,0.0425,63640,36360,1844,2403,8,32KiB,0.6181,4247,2496,2625,2,13.0,0.211173,0.288511,0.7514466425000002,0.310604791
4,4-way Set Assoc.,16384,0.0283,63640,36360,741,2091,8,32KiB,0.9266,2832,1782,2624,19,14.0,0.233936,0.288511,0.7691787393,0.348112328
5,4-way Set Assoc.,1024,0.1427,63640,36360,8449,5821,8,64KiB,0.1814,14270,6689,2589,0,10.0,0.14682,0.341213,0.7158152731,0.375432559
6,4-way Set Assoc.,2048,0.0962,63640,36360,5170,4452,8,64KiB,0.2691,9622,4942,2589,0,11.0,0.154496,0.341213,0.7076578325999999,0.37897997
7,4-way Set Assoc.,4096,0.0599,63640,36360,2941,3051,8,64KiB,0.4326,5992,3369,2592,0,12.0,0.185685,0.341213,0.7269697327000001,0.397958164
8,4-way Set Assoc.,8192,0.0425,63640,36360,1844,2403,8,64KiB,0.6105,4247,2496,2593,0,13.0,0.211173,0.341213,0.7471941775000002,0.42875176699999995
9,4-way Set Assoc.,16384,0.0283,63640,36360,741,2091,8,64KiB,0.9167,2832,1782,2596,0,14.0,0.233936,0.341213,0.7650387889,0.466259304
10,4-way Set Assoc.,32768,0.0264,63640,36360,570,2070,8,64KiB,0.9841,2640,1236,2598,0,15.0,0.27125,0.341213,0.8024608472,0.5969652919999999
11,4-way Set Assoc.,1024,0.1427,63640,36360,8449,5821,8,128KiB,0.1809,14270,6689,2582,0,10.0,0.14682,0.401236,0.7229464202,0.575048282
12,4-way Set Assoc.,2048,0.0962,63640,36360,5170,4452,8,128KiB,0.2683,9622,4942,2582,0,11.0,0.154496,0.401236,0.7118851491999999,0.578595693
13,4-way Set Assoc.,4096,0.0599,63640,36360,2941,3051,8,128KiB,0.4309,5992,3369,2582,0,12.0,0.185685,0.401236,0.7285183274000001,0.597573887
14,4-way Set Assoc.,8192,0.0425,63640,36360,1844,2403,8,128KiB,0.608,4247,2496,2582,0,13.0,0.211173,0.401236,0.7476095300000001,0.62836749
15,4-way Set Assoc.,16384,0.0283,63640,36360,741,2091,8,128KiB,0.9117,2832,1782,2582,0,14.0,0.233936,0.401236,0.7638932898,0.665875027
16,4-way Set Assoc.,32768,0.0264,63640,36360,570,2070,8,128KiB,0.978,2640,1236,2582,0,15.0,0.27125,0.401236,0.8008085504000001,0.796581015
17,4-way Set Assoc.,65536,0.026,63640,36360,547,2048,8,128KiB,0.995,2595,411,2582,0,16.0,0.319481,0.401236,0.849900136,0.862222704
18,4-way Set Assoc.,1024,0.1427,63640,36360,8449,5821,8,256KiB,0.1809,14270,6689,2582,0,10.0,0.14682,0.458925,0.7311786405,1.308655484
19,4-way Set Assoc.,2048,0.0962,63640,36360,5170,4452,8,256KiB,0.2683,9622,4942,2582,0,11.0,0.154496,0.458925,0.7174348309999999,1.312202895
20,4-way Set Assoc.,4096,0.0599,63640,36360,2941,3051,8,256KiB,0.4309,5992,3369,2582,0,12.0,0.185685,0.458925,0.7319738985000002,1.331181089
21,4-way Set Assoc.,8192,0.0425,63640,36360,1844,2403,8,256KiB,0.608,4247,2496,2582,0,13.0,0.211173,0.458925,0.7500613125000002,1.361974692
22,4-way Set Assoc.,16384,0.0283,63640,36360,741,2091,8,256KiB,0.9117,2832,1782,2582,0,14.0,0.233936,0.458925,0.7655258885,1.3994822290000002
23,4-way Set Assoc.,32768,0.0264,63640,36360,570,2070,8,256KiB,0.978,2640,1236,2582,0,15.0,0.27125,0.458925,0.8023315400000001,1.530188217
24,4-way Set Assoc.,65536,0.026,63640,36360,547,2048,8,256KiB,0.995,2595,411,2582,0,16.0,0.319481,0.458925,0.8514000500000001,1.595829906
25,4-way Set Assoc.,131072,0.0258,63640,36360,544,2038,8,256KiB,1.0,2582,26,2582,0,17.0,0.38028,0.458925,0.910700265,1.960558502
26,4-way Set Assoc.,1024,0.1427,63640,36360,8449,5821,8,512KiB,0.1809,14270,6689,2582,0,10.0,0.14682,0.578177,0.7481959009000001,2.6552570209999997
27,4-way Set Assoc.,2048,0.0962,63640,36360,5170,4452,8,512KiB,0.2683,9622,4942,2582,0,11.0,0.154496,0.578177,0.7289068733999999,2.6588044319999997
28,4-way Set Assoc.,4096,0.0599,63640,36360,2941,3051,8,512KiB,0.4309,5992,3369,2582,0,12.0,0.185685,0.578177,0.7391170933000001,2.677782626
29,4-way Set Assoc.,8192,0.0425,63640,36360,1844,2403,8,512KiB,0.608,4247,2496,2582,0,13.0,0.211173,0.578177,0.7551295225000001,2.7085762289999997
30,4-way Set Assoc.,16384,0.0283,63640,36360,741,2091,8,512KiB,0.9117,2832,1782,2582,0,14.0,0.233936,0.578177,0.7689007201,2.746083766
31,4-way Set Assoc.,32768,0.0264,63640,36360,570,2070,8,512KiB,0.978,2640,1236,2582,0,15.0,0.27125,0.578177,0.8054797928,2.876789754
32,4-way Set Assoc.,65536,0.026,63640,36360,547,2048,8,512KiB,0.995,2595,411,2582,0,16.0,0.319481,0.578177,0.854500602,2.942431443
33,4-way Set Assoc.,131072,0.0258,63640,36360,544,2038,8,512KiB,1.0,2582,26,2582,0,17.0,0.38028,0.578177,0.9137769666,3.3071600389999998
34,4-way Set Assoc.,262144,0.0258,63640,36360,544,2038,8,512KiB,1.0,2582,1,2582,0,18.0,0.457685,0.578177,0.9911819666,3.781436875
35,4-way Set Assoc.,1024,0.1427,63640,36360,8449,5821,8,1MiB,0.1809,14270,6689,2582,0,10.0,0.14682,0.705819,0.7664104143000001,4.889316353
36,4-way Set Assoc.,2048,0.0962,63640,36360,5170,4452,8,1MiB,0.2683,9622,4942,2582,0,11.0,0.154496,0.705819,0.7411860337999999,4.892863764
37,4-way Set Assoc.,4096,0.0599,63640,36360,2941,3051,8,1MiB,0.4309,5992,3369,2582,0,12.0,0.185685,0.705819,0.7467628491000001,4.911841958
38,4-way Set Assoc.,8192,0.0425,63640,36360,1844,2403,8,1MiB,0.608,4247,2496,2582,0,13.0,0.211173,0.705819,0.7605543075000001,4.942635561
39,4-way Set Assoc.,16384,0.0283,63640,36360,741,2091,8,1MiB,0.9117,2832,1782,2582,0,14.0,0.233936,0.705819,0.7725129887,4.980143098
40,4-way Set Assoc.,32768,0.0264,63640,36360,570,2070,8,1MiB,0.978,2640,1236,2582,0,15.0,0.27125,0.705819,0.8088495416,5.110849086
41,4-way Set Assoc.,65536,0.026,63640,36360,547,2048,8,1MiB,0.995,2595,411,2582,0,16.0,0.319481,0.705819,0.8578192940000001,5.1764907749999995
42,4-way Set Assoc.,131072,0.0258,63640,36360,544,2038,8,1MiB,1.0,2582,26,2582,0,17.0,0.38028,0.705819,0.9170701301999999,5.541219371
43,4-way Set Assoc.,262144,0.0258,63640,36360,544,2038,8,1MiB,1.0,2582,1,2582,0,18.0,0.457685,0.705819,0.9944751302,6.015496207
