, l1a, l1s, l1missrate, l1read, l1write, l1readmiss, l1writemiss, l2a, l2s, l2missrate, l2read, l2write, l2readmiss, l2writemiss, vcs, swapreqs, swapreqrate, swaps,log2l1s,l1at,l2at,aat,area,vcat
0,Direct Mapped L1 w/ No VC,1024,0.1935,63640,36360,12300,7046,8,65536,0.1338,19346,8359,2589,0,0,0,0.0,0,10.0,0.114797,0.341213,0.7012167455000001,0.370616077,0.0
1,Direct Mapped L1 w/ No VC,2048,0.1477,63640,36360,8905,5869,8,65536,0.1752,14774,6713,2589,0,0,0,0.0,0,11.0,0.12909,0.341213,0.6996156641000001,0.376312331,0.0
2,Direct Mapped L1 w/ No VC,4096,0.1002,63640,36360,5883,4134,8,65536,0.2585,10017,4675,2589,0,0,0,0.0,0,12.0,0.147005,0.341213,0.7018187126,0.39301393399999995,0.0
3,Direct Mapped L1 w/ No VC,8192,0.067,63640,36360,3327,3373,8,65536,0.3864,6700,3574,2589,0,0,0,0.0,0,13.0,0.16383,0.341213,0.7070561510000001,0.413610849,0.0
4,Direct Mapped L1 w/ No VC,16384,0.0461,63640,36360,1932,2677,8,65536,0.5619,4609,2503,2590,0,0,0,0.0,0,14.0,0.198417,0.341213,0.7348090783000001,0.457066606,0.0
5,Direct Mapped L1 w/ No VC,32768,0.0377,63640,36360,1356,2412,8,65536,0.6882,3768,1696,2593,17,0,0,0.0,0,15.0,0.233353,0.341213,0.7677140441000001,0.570861187,0.0
6,Direct Mapped L1 w/ 2-entry VC,1024,0.1608,63640,36360,12300,7046,8,65536,0.161,16077,7260,2589,0,2,19314,0.1931,3269,10.0,0.114797,0.341213,0.7153839259,0.370963826,0.131305
7,Direct Mapped L1 w/ 2-entry VC,2048,0.1231,63640,36360,8905,5869,8,65536,0.2104,12307,5822,2589,0,2,14710,0.1471,2467,11.0,0.12909,0.341213,0.7110031098,0.37666008,0.131305
8,Direct Mapped L1 w/ 2-entry VC,4096,0.0885,63640,36360,5883,4134,8,65536,0.2926,8849,4416,2589,0,2,9889,0.0989,1168,12.0,0.147005,0.341213,0.710679925,0.39336168299999996,0.131305
9,Direct Mapped L1 w/ 2-entry VC,8192,0.0601,63640,36360,3327,3373,8,65536,0.4313,6007,3402,2591,0,2,6444,0.0644,693,13.0,0.16383,0.341213,0.7138076563,0.413958598,0.131305
10,Direct Mapped L1 w/ 2-entry VC,16384,0.0417,63640,36360,1932,2677,8,65536,0.623,4165,2339,2595,4,2,4097,0.041,444,14.0,0.198417,0.341213,0.7402089971000001,0.457414355,0.131305
11,Direct Mapped L1 w/ 2-entry VC,32768,0.0343,63640,36360,1356,2412,8,65536,0.7551,3434,1592,2593,50,2,2778,0.0278,334,15.0,0.233353,0.341213,0.7692954779000001,0.571208936,0.131305
12,Direct Mapped L1 w/ 4-entry VC,1024,0.1473,63640,36360,12300,7046,8,65536,0.1758,14726,6830,2589,0,4,19314,0.1931,4620,10.0,0.114797,0.341213,0.7109090044,0.371311575,0.131305
13,Direct Mapped L1 w/ 4-entry VC,2048,0.1133,63640,36360,8905,5869,8,65536,0.2285,11331,5524,2589,0,4,14710,0.1471,3443,11.0,0.12909,0.341213,0.7074343034,0.377007829,0.131305
14,Direct Mapped L1 w/ 4-entry VC,4096,0.0833,63640,36360,5883,4134,8,65536,0.3109,8328,4268,2589,0,4,9889,0.0989,1689,12.0,0.147005,0.341213,0.7089633044,0.39370943199999997,0.131305
15,Direct Mapped L1 w/ 4-entry VC,8192,0.0565,63640,36360,3327,3373,8,65536,0.4587,5651,3279,2592,0,4,6444,0.0644,1049,13.0,0.16383,0.341213,0.7124872315,0.414306347,0.131305
16,Direct Mapped L1 w/ 4-entry VC,16384,0.0401,63640,36360,1932,2677,8,65536,0.647,4011,2268,2595,4,4,4097,0.041,598,14.0,0.198417,0.341213,0.7389716163000001,0.457762104,0.131305
17,Direct Mapped L1 w/ 4-entry VC,32768,0.0329,63640,36360,1356,2412,8,65536,0.7877,3292,1540,2593,50,4,2778,0.0278,476,15.0,0.233353,0.341213,0.7691273196999999,0.571556685,0.131305
18,Direct Mapped L1 w/ 8-entry VC,1024,0.1323,63640,36360,12300,7046,8,65536,0.1957,13229,6355,2589,0,8,19314,0.1931,6117,10.0,0.114797,0.341213,0.7065573574,0.37193654,0.135715
19,Direct Mapped L1 w/ 8-entry VC,2048,0.1032,63640,36360,8905,5869,8,65536,0.2509,10318,5252,2589,0,8,14710,0.1471,4456,11.0,0.12909,0.341213,0.7047137461,0.377632794,0.135715
20,Direct Mapped L1 w/ 8-entry VC,4096,0.0767,63640,36360,5883,4134,8,65536,0.3374,7674,4028,2589,0,8,9889,0.0989,2343,12.0,0.147005,0.341213,0.7067577086,0.39433439699999995,0.135715
21,Direct Mapped L1 w/ 8-entry VC,8192,0.0519,63640,36360,3327,3373,8,65536,0.5001,5185,3025,2593,0,8,6444,0.0644,1515,13.0,0.16383,0.341213,0.7119783197000001,0.414931312,0.135715
22,Direct Mapped L1 w/ 8-entry VC,16384,0.0378,63640,36360,1932,2677,8,65536,0.6869,3778,2165,2595,4,8,4097,0.041,831,14.0,0.198417,0.341213,0.7387720484,0.458387069,0.135715
23,Direct Mapped L1 w/ 8-entry VC,32768,0.032,63640,36360,1356,2412,8,65536,0.8111,3197,1488,2593,50,8,2778,0.0278,571,15.0,0.233353,0.341213,0.7697442130000001,0.57218165,0.135715
24,Direct Mapped L1 w/ 16-entry VC,1024,0.1125,63640,36360,12300,7046,8,65536,0.2301,11251,5695,2589,0,16,19314,0.1931,8095,10.0,0.114797,0.341213,0.7010221408,0.373101489,0.142543
25,Direct Mapped L1 w/ 16-entry VC,2048,0.0903,63640,36360,8905,5869,8,65536,0.2867,9034,4766,2590,0,16,14710,0.1471,5740,11.0,0.12909,0.341213,0.7012387102000002,0.378797743,0.142543
26,Direct Mapped L1 w/ 16-entry VC,4096,0.065,63640,36360,5883,4134,8,65536,0.3989,6496,3575,2591,0,16,9889,0.0989,3521,12.0,0.147005,0.341213,0.7044441977,0.395499346,0.142543
