bs, l1s, l1a, vcs, l2s, l2a, l1read, l1readmiss, l1write, l1writemiss, swapreqs, swapreqrate, swaps, l1missrate, l1writeback, l2read, l2readmiss, l2write, l2writemiss, l2missrate, l2writebacks, memtraffic
32, 1024, 4, 0, 32768, 8, 63640, 8449, 36360, 5821, 0, 0.000000, 0, 0.142700, 6689, 14270, 2625, 6689, 0, 0.184000, 1234, 3859
32, 2048, 4, 0, 32768, 8, 63640, 5170, 36360, 4452, 0, 0.000000, 0, 0.096200, 4942, 9622, 2625, 4942, 0, 0.272800, 1234, 3859
32, 4096, 4, 0, 32768, 8, 63640, 2941, 36360, 3051, 0, 0.000000, 0, 0.059900, 3369, 5992, 2625, 3369, 0, 0.438100, 1234, 3859
32, 8192, 4, 0, 32768, 8, 63640, 1844, 36360, 2403, 0, 0.000000, 0, 0.042500, 2496, 4247, 2625, 2496, 2, 0.618100, 1234, 3861
32, 16384, 4, 0, 32768, 8, 63640, 741, 36360, 2091, 0, 0.000000, 0, 0.028300, 1782, 2832, 2624, 1782, 19, 0.926600, 1218, 3861
32, 32768, 4, 0, 32768, 8, 63640, 570, 36360, 2070, 0, 0.000000, 0, 0.026400, 1236, 2640, 2616, 1236, 966, 0.990900, 725, 4307
32, 65536, 4, 0, 32768, 8, 63640, 547, 36360, 2048, 0, 0.000000, 0, 0.026000, 411, 2595, 2587, 411, 385, 0.996900, 127, 3099
32, 131072, 4, 0, 32768, 8, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 26, 2582, 2582, 26, 25, 1.000000, 7, 2614
32, 262144, 4, 0, 32768, 8, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 1, 2582, 2582, 1, 1, 1.000000, 0, 2583
32, 1024, 4, 0, 65536, 8, 63640, 8449, 36360, 5821, 0, 0.000000, 0, 0.142700, 6689, 14270, 2589, 6689, 0, 0.181400, 290, 2879
32, 2048, 4, 0, 65536, 8, 63640, 5170, 36360, 4452, 0, 0.000000, 0, 0.096200, 4942, 9622, 2589, 4942, 0, 0.269100, 289, 2878
32, 4096, 4, 0, 65536, 8, 63640, 2941, 36360, 3051, 0, 0.000000, 0, 0.059900, 3369, 5992, 2592, 3369, 0, 0.432600, 284, 2876
32, 8192, 4, 0, 65536, 8, 63640, 1844, 36360, 2403, 0, 0.000000, 0, 0.042500, 2496, 4247, 2593, 2496, 0, 0.610500, 276, 2869
32, 16384, 4, 0, 65536, 8, 63640, 741, 36360, 2091, 0, 0.000000, 0, 0.028300, 1782, 2832, 2596, 1782, 0, 0.916700, 265, 2861
32, 32768, 4, 0, 65536, 8, 63640, 570, 36360, 2070, 0, 0.000000, 0, 0.026400, 1236, 2640, 2598, 1236, 0, 0.984100, 260, 2858
32, 65536, 4, 0, 65536, 8, 63640, 547, 36360, 2048, 0, 0.000000, 0, 0.026000, 411, 2595, 2583, 411, 53, 0.995400, 25, 2661
32, 131072, 4, 0, 65536, 8, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 26, 2582, 2582, 26, 15, 1.000000, 0, 2597
32, 262144, 4, 0, 65536, 8, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 1, 2582, 2582, 1, 0, 1.000000, 0, 2582
32, 1024, 4, 0, 131072, 8, 63640, 8449, 36360, 5821, 0, 0.000000, 0, 0.142700, 6689, 14270, 2582, 6689, 0, 0.180900, 4, 2586
32, 2048, 4, 0, 131072, 8, 63640, 5170, 36360, 4452, 0, 0.000000, 0, 0.096200, 4942, 9622, 2582, 4942, 0, 0.268300, 4, 2586
32, 4096, 4, 0, 131072, 8, 63640, 2941, 36360, 3051, 0, 0.000000, 0, 0.059900, 3369, 5992, 2582, 3369, 0, 0.430900, 2, 2584
32, 8192, 4, 0, 131072, 8, 63640, 1844, 36360, 2403, 0, 0.000000, 0, 0.042500, 2496, 4247, 2582, 2496, 0, 0.608000, 2, 2584
32, 16384, 4, 0, 131072, 8, 63640, 741, 36360, 2091, 0, 0.000000, 0, 0.028300, 1782, 2832, 2582, 1782, 0, 0.911700, 1, 2583
32, 32768, 4, 0, 131072, 8, 63640, 570, 36360, 2070, 0, 0.000000, 0, 0.026400, 1236, 2640, 2582, 1236, 0, 0.978000, 0, 2582
32, 65536, 4, 0, 131072, 8, 63640, 547, 36360, 2048, 0, 0.000000, 0, 0.026000, 411, 2595, 2582, 411, 0, 0.995000, 0, 2582
32, 131072, 4, 0, 131072, 8, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 26, 2582, 2582, 26, 0, 1.000000, 0, 2582
32, 262144, 4, 0, 131072, 8, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 1, 2582, 2582, 1, 0, 1.000000, 0, 2582
32, 1024, 4, 0, 262144, 8, 63640, 8449, 36360, 5821, 0, 0.000000, 0, 0.142700, 6689, 14270, 2582, 6689, 0, 0.180900, 0, 2582
32, 2048, 4, 0, 262144, 8, 63640, 5170, 36360, 4452, 0, 0.000000, 0, 0.096200, 4942, 9622, 2582, 4942, 0, 0.268300, 0, 2582
32, 4096, 4, 0, 262144, 8, 63640, 2941, 36360, 3051, 0, 0.000000, 0, 0.059900, 3369, 5992, 2582, 3369, 0, 0.430900, 0, 2582
32, 8192, 4, 0, 262144, 8, 63640, 1844, 36360, 2403, 0, 0.000000, 0, 0.042500, 2496, 4247, 2582, 2496, 0, 0.608000, 0, 2582
32, 16384, 4, 0, 262144, 8, 63640, 741, 36360, 2091, 0, 0.000000, 0, 0.028300, 1782, 2832, 2582, 1782, 0, 0.911700, 0, 2582
32, 32768, 4, 0, 262144, 8, 63640, 570, 36360, 2070, 0, 0.000000, 0, 0.026400, 1236, 2640, 2582, 1236, 0, 0.978000, 0, 2582
32, 65536, 4, 0, 262144, 8, 63640, 547, 36360, 2048, 0, 0.000000, 0, 0.026000, 411, 2595, 2582, 411, 0, 0.995000, 0, 2582
32, 131072, 4, 0, 262144, 8, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 26, 2582, 2582, 26, 0, 1.000000, 0, 2582
32, 262144, 4, 0, 262144, 8, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 1, 2582, 2582, 1, 0, 1.000000, 0, 2582
32, 1024, 4, 0, 524288, 8, 63640, 8449, 36360, 5821, 0, 0.000000, 0, 0.142700, 6689, 14270, 2582, 6689, 0, 0.180900, 0, 2582
32, 2048, 4, 0, 524288, 8, 63640, 5170, 36360, 4452, 0, 0.000000, 0, 0.096200, 4942, 9622, 2582, 4942, 0, 0.268300, 0, 2582
